N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"78,900",0,0.00%,100,"4,710,158","5,969,783",52.20,"6,047,289",15.29,9.99,
2,SK하이닉스,"127,500",500,-0.39%,"5,000","928,203","728,002",49.51,"2,204,824",11.53,9.53,
3,삼성전자우,"72,100",200,+0.28%,100,"593,301","822,887",74.73,"818,838",13.98,N/A,
4,NAVER,"346,500","11,500",+3.43%,100,"568,430","164,049",55.56,"676,641",3.43,15.22,
5,삼성바이오로직스,"854,000","21,000",+2.52%,"2,500","565,049","66,165",10.89,"39,896",137.65,N/A,
6,LG화학,"772,000","38,000",+5.18%,"5,000","544,973","70,592",48.41,"459,158",20.12,2.93,
7,현대차,"212,000","1,500",+0.71%,"5,000","452,977","213,668",28.46,"216,980",10.74,2.04,
8,삼성SDI,"651,000","24,000",+3.83%,"5,000","447,657","68,765",45.28,"236,596",40.83,4.54,
9,카카오,"98,200","3,200",+3.37%,100,"437,880","445,906",29.44,"2,426,584",38.66,2.70,
10,기아,"84,800",700,+0.83%,"5,000","343,748","405,363",35.46,"498,786",7.68,5.05,
11,셀트리온,"196,000",500,-0.25%,"1,000","270,376","137,947",20.26,"238,942",49.87,16.68,
12,POSCO,"303,500","3,500",+1.17%,"5,000","264,612","87,187",52.67,"194,077",4.55,3.61,
13,KB금융,"61,100","1,100",+1.83%,"5,000","254,059","415,808",70.26,"1,646,980",5.84,8.53,
14,현대모비스,"261,000","4,000",+1.56%,"5,000","246,836","94,573",34.38,"113,613",10.51,4.66,
15,SK이노베이션,"258,500","17,000",+7.04%,"5,000","239,023","92,466",23.88,"755,501","-7,602.94",-13.58,
16,카카오뱅크,"50,000",650,+1.32%,"5,000","237,580","475,159",16.35,"1,525,049",161.81,5.08,
17,LG전자,"136,500","6,000",+4.60%,"5,000","223,379","163,648",28.88,"1,203,339",19.69,13.23,
18,삼성물산,"116,500","2,000",+1.75%,100,"217,723","186,887",15.39,"205,396",13.26,3.81,
19,카카오페이,"158,500","9,000",+6.02%,500,"209,035","131,883",42.82,"265,068",-788.56,-17.97,
20,신한지주,"39,600",600,+1.54%,"5,000","204,573","516,600",60.89,"1,698,770",5.26,8.20,
21,SK,"248,000","8,500",+3.55%,200,"183,890","74,149",21.71,"101,479",28.98,1.11,
22,크래프톤,"368,500","3,500",+0.96%,100,"180,444","48,967",30.19,"180,348",28.88,61.86,
23,SK바이오사이언스,"227,500","11,000",+5.08%,500,"174,038","76,500",5.55,"598,941",87.60,13.25,
24,LG생활건강,"959,000","11,000",+1.16%,"5,000","149,778","15,618",42.22,"57,292",19.96,17.92,
25,하나금융지주,"46,350",350,-0.75%,"5,000","139,162","300,242",68.66,"1,176,474",4.33,8.96,
26,한국전력,"21,650",150,+0.70%,"5,000","138,985","641,964",14.53,"494,073",-12.76,2.91,
27,삼성전기,"184,000","2,500",+1.38%,"5,000","137,436","74,694",30.92,"300,305",14.14,10.92,
28,엔씨소프트,"617,000","13,000",+2.15%,500,"135,456","21,954",43.94,"75,219",38.09,20.83,
29,삼성생명,"67,400",700,+1.05%,500,"134,800","200,000",12.50,"143,803",8.62,3.53,
30,HMM,"26,300",550,+2.14%,"5,000","128,617","489,039",10.69,"843,734",3.31,8.93,
